,country,continent_name,monthly_internet_cost_2018,internet_percent_of_population,population_2018,population_2024,gni_2018,gni_2024,annual_internet_cost_2018,annual_cost_percent_GNI_2018,annual_internet_cost_2024,annual_cost_percent_GNI_2024,sat_annual_cost_per_gni_2018,sat_annual_cost_per_gni_2024
59,Oman,Asia,77.91,0.801856,4600000.0,4710000.0,14700.0,14300.0,934.92,0.0636,1259.514088737144,0.08807790830329679,0.04897959183673469,0.0579020979020979
60,Pakistan,Asia,17.55,0.1551,220000000.0,245000000.0,1540.0,1370.0,210.60000000000002,0.13675324675324677,283.7180369315476,0.2070934576142683,0.4675324675324675,0.6043795620437956
61,Philippines,Asia,39.29,0.600548,109000000.0,119000000.0,3860.0,4170.0,471.48,0.12214507772020726,635.1727447886329,0.15231960306681844,0.18652849740932642,0.1985611510791367
62,Qatar,Asia,109.87,0.996528,2770000.0,2740000.0,61300.0,61200.0,1318.44,0.02150799347471452,1776.1880750808625,0.02902268096537357,0.011745513866231648,0.013529411764705882
63,Saudi Arabia,Asia,82.85,0.9331,35000000.0,37500000.0,22500.0,22900.0,994.1999999999999,0.044186666666666666,1339.3754620956536,0.058488011445225044,0.032,0.03615720524017467
64,Singapore,Asia,43.8,0.881656,5810000.0,6050000.0,59300.0,60000.0,525.5999999999999,0.008863406408094434,708.0826220855716,0.011801377034759527,0.012141652613827993,0.0138
65,Sri Lanka,Asia,27.4,0.341133,21600000.0,21900000.0,4210.0,4260.0,328.79999999999995,0.07809976247030878,442.955795551248,0.10398023369747605,0.171021377672209,0.19436619718309858
66,Tajikistan,Asia,35.58,0.2196,9130000.0,10300000.0,1070.0,1170.0,426.96,0.39902803738317755,575.1958834201974,0.49162041317965594,0.6728971962616822,0.7076923076923077
67,Thailand,Asia,23.82,0.568175,71100000.0,71900000.0,6880.0,8140.0,285.84000000000003,0.041546511627906985,385.0805492711947,0.047307192785159054,0.10465116279069768,0.10171990171990172
68,Timor-Leste,Asia,57.33,0.274927,1260000.0,1380000.0,1900.0,1810.0,687.96,0.3620842105263158,926.8122539763889,0.5120509690477286,0.37894736842105264,0.4574585635359116
69,Turkmenistan,Asia,224.68,0.21251,6070000.0,6600000.0,7020.0,8230.0,2696.16,0.38406837606837607,3632.237523520235,0.44134113287001636,0.10256410256410256,0.10060753341433779
70,United Arab Emirates,Asia,115.97,0.9845,9140000.0,9590000.0,43200.0,38900.0,1391.6399999999999,0.03221388888888889,1874.8023215357023,0.04819543243022371,0.016666666666666666,0.0212853470437018
71,Uzbekistan,Asia,11.44,0.523051,32400000.0,35700000.0,2200.0,2000.0,137.28,0.0624,184.9421277776014,0.0924710638888007,0.32727272727272727,0.414
72,Vietnam,Asia,11.23,0.703496,94900000.0,99500000.0,2480.0,3340.0,134.76,0.05433870967741935,181.54721109636915,0.054355452424062624,0.2903225806451613,0.24790419161676647
73,Yemen,Asia,2466.67,0.267184,30800000.0,35200000.0,948.0,933.0,29600.04,31.22367088607595,39876.85300045246,42.74046409480435,0.759493670886076,0.887459807073955
